# Generated by scripts/generate-association-seeds.rb.
# key<TAB>candidate1<TAB>candidate2...
# Sources: local seed TSVs, McBopomofo associated phrases, typing corpora, IBus Cangjie, and Rime Cangjie dictionaries.
上	去	來	的	一	有	所	面	用	了	加	型	下	門	到	帝	升	前	陣	頭	作	方	漲	萬	無	天	心	節	班	午	任	市	游	訴	司	腺	角	線	耶	進	口	場	山	是	眼	風	添	排	祝	購	道	人	好	運	用場	君	和	也	得	走	一層	海	百	車	將	次	路	岸	網	課	述	傳	半	台	學	當	看	在	層	演	第	級	街	週	限	千	揚	映	爬	空	而	記	廁	必	春	的果	忽	獻	行	觀	談	邊	八	客	弓	明	為	颱	騰	一頁	最	灑	眉	籃	聲	要	軌	開	你	常	曲
上下	班
上廁	所
上班	族
上面	的
下	來	去	一	的	水	之	面	午	風	心	方	到	有	不	跌	子	半	垂	班	降	手	定	人	巴	化	無	了	海	角	游	台	一頁	架	拜	石	同	體	留	阿	之辱	山	雨	令	流	他	車	列	載	坡	落	這	雪	在	次	場	學	室	文	旬	滑	課	週	一個	好	挫	放	棋	樓	藥	鄉	鐵	限	幸	愈	自	錢	句	志	老	身	士	惠	走	陣	電	馬	囚	回	裡	三	住	作	斷	猶	懷	我	死	沾	禍	蓋	諾	所	盟	腺	一代	你	萬	一步	的人	水道	地	心來	入	坑	不亂	阿蒙	陰	看	網	邊
下一	代	個	步
下午	的	茶
下半	年
下定	決	決心
下定決	心
下水	道
下降	的
下面	的
不	可	是	得	能	住	過	要	了	到	下	見	會	出	起	動	上	在	知	及	清	定	已	斷	安	著	如	再	勝	堪	容	顧	掉	盡	足	前	同	一	樂	成	絕	用	化	自	備	認	平	應	多	適	開	明	倦	當	然	作	分	好	振	潔	離	敢	聽	去	管	願	良	捨	信	入	懂	肯	為	經	暇	放	錯	相	讓	易	像	言	對	變	進	靈	休	改	至	實	決	留	解	醒	懈	亂	屈	破	食	忘	愛	羈	渝	犯	由	行	息	答	達	兩	從	遇	來	識	負	移	保	論	二	厭	需
不一	定	樣
不動	產
不只	是
不可	能	以
不同	的
不幸	的
不得	不
不應	該
不斷	地	的
不景	氣
不會	有	是
不知	道
不管	是
不能	夠
不要	再
不見	得	了
不論	是
不過	是
不適	合
不錯	的
不需	要
不願	意
丐	幫
丑	角	和	劇	旦	和約
且	在	有	是	我	能	會	一	不	偷	你	要	他	說	都	看	為	聽	過	慢	走	從	戰	唯	歌	舞	衰	生	那	一試	因	知	得	耶	養	倒	屬	延	恩	與	被	這	不說	你們	偷生	戰且	聽下	偷安	唯若	歌且	為之	作	使	叫	吃	甚	大	對	往	神	行	從死	我們	生兒	去	指	照	等	知道	信	勝	將	愛	成	歡	結	我要	耶和	那地	養活	人	以	分	剜	吩	告	地	多	她	帶	忍	所	把	敬	施	明	沒	無	用	由	站	觀	認	降	顯	他要	倒塌	屬肉	延長	恩上	是可	有全	要住	亞	伸	來	凌	出	又	受	可
且戰	且	且走
且戰且	走
且歌	且	且舞
且歌且	舞
且聽	下	下回	下回分
且聽下	回	回分	回分解
丕	變	業	顯
世	界	紀	代	上	人	不	無	之	貿	外	新	運	說	音	故	的	嫉	疾	名	俗	間	事	基	家	主	博	聞	足	隔	駭	世代	代代	台	大	宗	局	襲	價	凱	玉	矚	軍	獨	繪	長	歌	面	公	奇	推	文	未	珍	祖	魔	俯	取	太	姻	態	憫	浮	盜	箴	英	逸	釣	上的	昌	界各	界貿	界大	界人	界紀	不恭	以	無雙	必	不羈	之才	名言	界上	界和	界盃	界衛	界展	界級	界裡	基金	外桃	界性	界經	界觀	紀末	博會	新大	界文	界末	界杯	界的	界運	聞名	說新	貿中	貿大	足賽	運會	隔絕	駭俗	台會	大運	無爭	界潮	界銀	歡	代交	價值	界地	界新	界貨
世世	代	代代
世世代	代
世代	交	交替
世代交	替
世博	會
世台	會
世外	桃	桃源
世外桃	源
世大	運
世新	大	大學
世新大	學
世界	各	貿	人	上	盃	衛	大	展	級	裡	性	紀	經	觀	和	文	末	杯	運	潮	銀	地	新	貨	貿易	各地	各國	衛生	大戰	展望	人權	紀錄	經濟	和平	文化	末日	運動	潮流	銀行	地圖	新聞	貨幣	貿易組	衛生組	展望會	人權宣	運動會
世界人	權	權宣	權宣言
世界各	地	國
世界和	平
世界地	圖
世界大	戰
世界展	望	望會
世界文	化
世界新	聞
世界末	日
世界潮	流
世界紀	錄
世界經	濟
世界衛	生	生組	生組織
世界貨	幣
世界貿	易	易組	易組織
世界運	動	動會
世界銀	行
世紀	末	梨
世說	新	新語
世說新	語
世貿	中	大	中心	大樓
世貿中	心
世貿大	樓
世足	賽
世運	會
丘	陵	陵地	逢	成	壑	處	逢甲	成桐	處機	陵地區	陵地帶	陵地形
丘成	桐
丘處	機
丘逢	甲
丘陵	地	地區	地帶	地形
丘陵地	區	帶	形
丙	烯	等	丁	烷	坤	種	級	酮	橡	線	校	醇	項	烯醯	橡膠	等體	烯酸	烯醛	烷氣	烯醯胺	等體位
丙烯	醯	酸	醛	醯胺
丙烯醯	胺
丙烷	氣
丙等	體	體位
丙等體	位
丞	琳	相
丟	在	下	棄	上	盔	進	人	掉	起	給	了	到	臉	入	的	出	擲	三	失	開	回	垃	官	還	來	去	我	銅	卒	置	包	眼	飯	珥	下去	出去	人現	進去	三落	上來	上去	回給	垃圾	還給	丟銅	來丟	在腦	我撿	銅仔	下不	卒保	盔卸	盔棄	下來	眼色	起來	飯碗	在地	在火	棄了	在外	棄我	斯	在爐	珥的	崽	彼	在豬	棄他	棄你	人現眼	三落四	丟銅仔	來丟去	在腦後	下不管	卒保車	盔卸甲	盔棄甲	在背	在地獄	利	呂	命	和	大	尼	年	特	行	崽子	彼拉	給狗	在外面	在火裏	在爐裏	珥的兒	在豬前	在我	在法	棄的	棄良	給窰	棄他們	棄我們	下他	下自	下衣	了幾	了麻	呂西	命猶	和他	在一	在他	在其	在園	在坑	在城	在塵
丟三	落	落四
丟三落	四
丟上	來	去
丟下	去	不	來	不管
丟下不	管
丟丟	銅	銅仔
丟丟銅	仔
丟人	現	現眼
丟人現	眼
丟來	丟	丟去
丟來丟	去
丟出	去
丟卒	保	保車
丟卒保	車
丟回	給
丟在	腦	腦後
丟在腦	後
丟盔	卸	棄	卸甲	棄甲
丟盔卸	甲
丟盔棄	甲
丟眼	色
丟起	來
丟進	去
丟還	給
丟飯	碗
並	且	不	沒	要	行	非	他	無	有	肩	用	立	進	可	在	論	將	茂	蓄	駕	濟	你	一	沒有	同	為	與	以	未	列	不是	會	從	於	存	由	能	重	排	請	出	得	當	邀	上	回	聯	舉	到	包	合	弟	施	顧	耶	驟	芘	不適	亞	結	行不	各	且在	且我	地	天	使	一切	城	大	那	屬	我	所	且有	且你	約	且他	不會	不能	且是	基	守	不在	且能	非是	駕齊	以色	可以	兩	其	且會	無二	肩作	弟兄	住	右	壇	撚	祭	跟	長	帶	油	眾	他的	且生	叫	向	因	帳	猶	藉	許	迦	他們	結果	且那	地上	主
並不	適	是	會	能	在	適合
並不適	合
並且	在	有	是	會	能
並可	以
並沒	有
並無	二	二致
並無二	致
並肩	作	作戰
並肩作	戰
並行	不	不悖
並行不	悖
並非	是
並駕	齊	齊驅
並駕齊	驅
丫	頭	子	環	嬛	鬟
中	心	文	的	間	學	有	國	央	看	所	原	華	小	毒	人	選	生	山	物	市	正	立	縣	外	無	之	獎	用	取	箭	南	常	產	了	午	風	求	作	不	廣	時	視	文輸	和	戲	圈	聽	一	出	要	飛	也	帶	剪	最	說	文字	年	共	斷	興	被	看為	油	研	行	大	東	流	部	醫	旬	職	藥	西	送	途	元	期	秋	必	沒	海	為	率	來	天	暑	燒	矩	肯	英	規	察	巴	彈	得	意	營	考	計	釘	傷	化	樓	橋	除	點	文打	文模	文英	三	刺	區	會	槍	而	街	角	鏢
中了	毒
中南	部
中圈	套
中國	地	人	大	時	地方	大陸	時報
中國地	方
中國大	陸
中國時	報
中央	政	社	研	銀	政府	研究	銀行	研究院
中央政	府
中央研	究	究院
中央銀	行
中小	企	學	企業
中小企	業
中山	大	大學
中山大	學
中常	會
中文	候選	字庫	打字	模式	輸入	關連詞	字	版
中毒	者	已	已深
中毒已	深
中獎	率
中產	階	階級
中產階	級
中看	不	不中	不中用
中看不	中	中用
中研	院
中箭	落	落馬
中箭落	馬
中華	民	電	隊	民國	電信	民族
中華民	國	族
中華電	信
中規	中	中矩
中規中	矩
丰	采	姿	韻	采難	姿綽	采難振	姿綽約
丰姿	綽	綽約
丰姿綽	約
丰采	難	難振
丰采難	振
串	流	門	聯	通	上	供	連	列	成	珠	燒	演	出	接	街	鈴	騙	門子	流媒	通好	燒肉	上來	上去	出來	聯式	流媒體	而	而華	而華麗
串上	來	去
串出	來
串流	媒	媒體
串流媒	體
串燒	肉
串聯	式
串通	好
串門	子
丸	子	米	湯	藥	博	之	龜	水	髻	米粉	博子	之地	龜製	水產	藥盒	龜製麵	米粉湯
丸藥	盒
丸龜	製	製麵
丸龜製	麵
丹	佛	鳳	心	麥	青	紅	尼	田	花	桂	娜	福	漢	白	藥	頂	亭	妙	砂	社	人	大	粒	錐	陽	丸	忱	楓	毒	江	術	詔	鄉	鑤	佛金	鳳國	尼爾	青燒	佛大	尼斯	丹漢	漢堡	白露	頂鶴	麥人	妙藥	社事	大林	鳳高	心耿	花下	錐浮	田功	紅色	青圖	鳳眼	麥籍	佛金塊	佛大學	丹漢堡	鳳國小	社事件	色	大林道	鳳高中	心耿耿	花下死	錐浮標	鳳國中	的	顏	的境	色所	色油	的境界	色所畫	色油漆
丹丹	漢	漢堡
丹丹漢	堡
丹佛	金	金塊	金塊隊
丹佛金	塊	塊隊
丹大	林	林道
丹大林	道
丹尼	爾	斯
丹心	耿	耿耿
丹心耿	耿
丹田	功
丹紅	色
丹錐	浮	浮標
丹錐浮	標
丹青	燒	圖
丹頂	鶴
丹鳳	國	高	眼	國小	高中	國中
丹鳳國	小	中
丹鳳高	中
丹麥	人	籍
